goos: linux
goarch: amd64
pkg: github.com/FnuGk/ipcbench
BenchmarkNestedProtoMarshal1-8         	10000000	       784 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9189 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9226 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9178 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9304 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9104 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9193 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9175 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9178 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9201 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9251 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9220 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9173 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9213 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9155 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9222 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9171 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9197 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9335 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9180 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9198 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9172 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9281 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9246 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9154 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9165 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9258 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9220 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9181 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9237 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10-8        	 1000000	      9180 ns/op	    2688 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112142 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112269 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112166 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112457 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112072 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112482 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112348 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112312 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112405 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112197 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    111985 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112167 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112225 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112436 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112453 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112284 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112216 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112281 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112317 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    111950 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112409 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112238 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112549 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112481 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112450 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112229 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112181 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112066 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112101 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal100-8       	  100000	    112073 ns/op	   27264 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1170393 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1164318 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1167719 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1174472 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1168086 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1170576 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1166680 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1178734 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1178205 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1177146 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1169707 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1175497 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1162996 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1175286 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1183151 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1174434 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1176645 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1179215 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	    5000	   1193442 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1170411 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1186946 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1170383 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1183896 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	    5000	   1167327 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1175230 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	    5000	   1161188 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1180170 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1174531 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1173117 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1000-8      	   10000	   1178953 ns/op	  270336 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6048431 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6024048 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6016318 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6036597 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6033981 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6018195 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    2000	   6027633 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6017775 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6015849 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6037189 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    2000	   6021514 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6017762 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6028866 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6003786 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6035887 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6034164 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6030881 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6016431 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    2000	   6022572 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6012301 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6016096 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6029170 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6045156 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6049829 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6025003 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6013458 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6021784 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6021555 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6031603 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal5000-8      	    1000	   6032980 ns/op	 1343488 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12219338 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12236257 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12228916 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12256524 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12255449 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12285392 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12304570 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12187039 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12226353 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12276261 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12243040 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12292656 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12196981 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12209569 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12248572 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12243069 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12222376 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12230294 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12251666 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12264795 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12224675 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12185874 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12186549 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12259675 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12265433 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12205311 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12216551 ns/op	 2686977 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12253428 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12244970 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal10000-8     	     500	  12191664 ns/op	 2686976 B/op	       1 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4740 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4746 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4754 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4708 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4723 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4741 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4726 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4736 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4735 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4755 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4722 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4713 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4718 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4739 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4721 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4714 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4719 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4723 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4717 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4717 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4738 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4723 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4746 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4710 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4758 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4723 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4732 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4726 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4734 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal1-8          	 2000000	      4721 ns/op	    1280 B/op	       4 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44180 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44252 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43422 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     45389 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44662 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43630 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44234 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43912 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43910 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44957 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44872 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     42187 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43344 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44967 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43157 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     42137 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43459 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43953 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43919 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43725 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     42862 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     45040 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44307 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44895 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43437 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     46096 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44628 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43300 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     44509 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal10-8         	  200000	     43524 ns/op	   20864 B/op	       8 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    458463 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    447058 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    467595 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    457027 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    462611 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    459389 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    464415 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    468430 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    464993 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    463981 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    464661 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    460492 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    464209 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    455334 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    461971 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    453421 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    462238 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    459340 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    465818 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    463406 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    462549 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    454246 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    444533 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    463727 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    468111 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    464624 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    460162 ns/op	  164224 B/op	      11 allocs/op
BenchmarkNestedJSONMarshal100-8        	   20000	    461777 ns/op	  164224 B/op	      11 allocs/op
