Test,Iterations,ns/op,B/op,allocs/op
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       773 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9189 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9226 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9178 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9304 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9104 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9193 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9175 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9178 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9201 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9251 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9220 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9173 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9213 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9155 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9222 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9171 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9197 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9335 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9180 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9198 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9172 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9281 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9246 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9154 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9165 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9258 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9220 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9181 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9237 ,    2688 ,       1 
BenchmarkNestedProtoMarshal10-8        , 1000000,      9180 ,    2688 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112142 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112269 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112166 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112457 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112072 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112482 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112348 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112312 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112405 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112197 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    111985 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112167 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112225 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112436 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112453 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112284 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112216 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112281 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112317 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    111950 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112409 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112238 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112549 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112481 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112450 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112229 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112181 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112066 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112101 ,   27264 ,       1 
BenchmarkNestedProtoMarshal100-8       ,  100000,    112073 ,   27264 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1170393 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1164318 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1167719 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1174472 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1168086 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1170576 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1166680 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1178734 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1178205 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1177146 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1169707 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1175497 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1162996 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1175286 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1183151 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1174434 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1176645 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1179215 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,    5000,   1193442 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1170411 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1186946 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1170383 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1183896 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,    5000,   1167327 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1175230 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,    5000,   1161188 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1180170 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1174531 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1173117 ,  270336 ,       1 
BenchmarkNestedProtoMarshal1000-8      ,   10000,   1178953 ,  270336 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6048431 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6024048 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6016318 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6036597 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6033981 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6018195 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    2000,   6027633 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6017775 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6015849 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6037189 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    2000,   6021514 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6017762 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6028866 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6003786 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6035887 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6034164 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6030881 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6016431 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    2000,   6022572 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6012301 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6016096 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6029170 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6045156 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6049829 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6025003 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6013458 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6021784 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6021555 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6031603 , 1343488 ,       1 
BenchmarkNestedProtoMarshal5000-8      ,    1000,   6032980 , 1343488 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12219338 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12236257 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12228916 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12256524 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12255449 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12285392 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12304570 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12187039 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12226353 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12276261 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12243040 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12292656 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12196981 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12209569 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12248572 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12243069 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12222376 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12230294 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12251666 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12264795 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12224675 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12185874 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12186549 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12259675 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12265433 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12205311 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12216551 , 2686977 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12253428 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12244970 , 2686976 ,       1 
BenchmarkNestedProtoMarshal10000-8     ,     500,  12191664 , 2686976 ,       1 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4740 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4746 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4754 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4708 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4723 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4741 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4726 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4736 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4735 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4755 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4722 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4713 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4718 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4739 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4721 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4714 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4719 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4723 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4717 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4717 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4738 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4723 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4746 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4710 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4758 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4723 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4732 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4726 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4734 ,    1280 ,       4 
BenchmarkNestedJSONMarshal1-8          , 2000000,      4721 ,    1280 ,       4 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44180 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44252 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43422 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     45389 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44662 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43630 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44234 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43912 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43910 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44957 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44872 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     42187 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43344 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44967 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43157 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     42137 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43459 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43953 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43919 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43725 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     42862 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     45040 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44307 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44895 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43437 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     46096 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44628 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43300 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     44509 ,   20864 ,       8 
BenchmarkNestedJSONMarshal10-8         ,  200000,     43524 ,   20864 ,       8 
BenchmarkNestedJSONMarshal100-8        ,   20000,    458463 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    447058 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    467595 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    457027 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    462611 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    459389 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    464415 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    468430 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    464993 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    463981 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    464661 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    460492 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    464209 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    455334 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    461971 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    453421 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    462238 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    459340 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    465818 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    463406 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    462549 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    454246 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    444533 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    463727 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    468111 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    464624 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    460162 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    461777 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    464025 ,  164224 ,      11 
BenchmarkNestedJSONMarshal100-8        ,   20000,    459574 ,  164224 ,      11 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4429819 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4375925 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4467333 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4423416 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4477417 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4528015 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4454083 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4401470 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4415171 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4391863 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4437247 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4433788 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4336938 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4504707 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4373691 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4455712 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4435095 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4476618 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4420219 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4430853 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4477285 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4455193 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4518767 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4441955 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4438016 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4400876 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4513331 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4394490 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4430338 , 1278336 ,      14 
BenchmarkNestedJSONMarshal1000-8       ,    2000,   4409080 , 1278336 ,      14 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23374617 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23373793 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23379076 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     200,  41827557 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23294772 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23287371 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23266260 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23376819 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23357657 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23364863 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23300259 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23386530 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23347821 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23353069 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23406220 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23403512 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23354717 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23476479 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23382065 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23432615 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23407038 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23321655 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23318082 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23335982 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  43363006 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23352237 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23377209 ,10051968 ,      17 
BenchmarkNestedJSONMarshal5000-8       ,     300,  23370331 ,10051968 ,      17 
